,real_chi2_stat,real_p_value,real_effect_size,empirical_p_value,mean_random_effect_size,n,svara
0,0.0,1.0,0.0,1.0,0.0,2.0,g
1,0.2608695652173913,0.8777137332821823,0.3611575592573076,0.028,0.028,2.0,g
2,,,,,,,g
3,0.5999999999999999,0.9880032427940937,0.3464101615137754,0.175,0.175,2.0,g
4,0.863768115942029,0.9902538749476576,0.37942239345748274,0.07,0.60994124447854,2.0,g
5,,,,,,,g
6,1.0,0.9948285365165155,0.3779644730092272,0.099,0.6932911395215212,2.0,g
7,1.262745098039216,0.9959824324414789,0.3972947737573476,0.0,0.7619884728907617,2.0,g
8,,,,,,,g
9,0.9333333333333331,0.9880136921302151,0.3944053188733077,0.106,0.6761751794756526,2.0,g
10,1.2627450980392159,0.9995039505551192,0.35535124849073146,0.0,0.7404158637652388,2.0,g
11,,,,,,,g
12,1.158974358974359,0.9918410321225146,0.40690019116211484,0.0,0.7232035121853868,2.0,g
13,1.2142857142857144,0.9987637363519872,0.3673154433462265,0.0,0.733514353923252,2.0,g
14,,,,,,,g
15,0.4,0.9402424948393607,0.3651483716701107,0.115,0.08776093065034891,3.0,p
16,0.42895927601809947,0.9944942915987539,0.29290246704939155,0.929,0.5088772728318706,3.0,p
17,0.7630252100840335,0.9999509171498051,0.27622910963257175,0.001,0.5654002690782503,3.0,p
18,0.5123152709359605,0.9998537131587371,0.25306008943923786,0.616,0.47668869596047453,3.0,p
19,1.290909090909091,0.9999822039312269,0.3151201347116672,0.0,0.6096518364142832,3.0,p
20,,,,,,,p
21,0.7771428571428568,0.9999465178141557,0.2787728209748678,0.086,0.584582733883412,3.0,p
22,1.290909090909091,0.9999984847654078,0.2933608802492351,0.0,0.6070584478046228,3.0,p
23,,,,,,,p
24,1.104895104895105,0.9999994882776472,0.27140315705546547,0.0,0.5942042837828175,3.0,p
25,1.3620689655172409,0.9999998255701531,0.2830577747633075,0.0,0.6139883212798902,3.0,p
26,,,,,,,p
27,1.3620689655172413,0.9999999528571356,0.27508271135113377,0.0,0.6106649789138265,3.0,p
28,1.3620689655172413,0.9999999968102211,0.2609663738412711,0.0,0.6098389544237969,3.0,p
29,,,,,,,p
30,0.41586860617770677,0.9948812237530285,0.28839854582771624,0.367,0.39770496220930207,6.0,n
31,0.8571428571428571,0.6514390575310558,0.6546536707079771,0.04,0.46185972602112246,6.0,n
32,0.9259253332479878,0.9998792340705255,0.3042902123381539,0.0,0.43400807600794905,6.0,n
33,0.8575807334428023,0.9999984981623595,0.2568418749471538,0.0,0.42516252435792196,6.0,n
34,0.9661050233690743,0.9995117237095222,0.32763547212804023,0.0,0.4882254259888775,6.0,n
35,1.2336134453781504,0.9999999999998305,0.21782256764642804,0.0,0.4095543189566895,6.0,n
36,1.2182991202346036,0.999999998884305,0.2468095541338102,0.0,0.4147956908918761,6.0,n
37,1.0428571428571427,0.9999986801548697,0.2729281882077543,0.0,0.4743887836170521,6.0,n
38,,,,,,,n
39,1.4545454545454546,0.9999999999766076,0.24618298195866548,0.0,0.42241301494693495,6.0,n
40,1.0587301587301585,0.9999999944071382,0.24252493098994068,0.0,0.4043703253382877,6.0,n
41,,,,,,,n
42,1.4418604651162787,0.9999999999788184,0.2451071589730601,0.0,0.4236676166936544,6.0,n
43,1.1587301587301584,0.9999999998392274,0.23489918391982129,0.0,0.40923615204714714,6.0,n
44,,,,,,,n
45,0.8275862068965517,0.6611377242318554,0.6432675209026769,0.078,0.4542320028357681,8.0,s
46,0.7685578714916768,0.9928903371343201,0.35790079432986194,0.0,0.44430887365207555,8.0,s
47,1.1236170050418786,0.9999978519077322,0.2832990601872716,0.0,0.4251586059024823,8.0,s
48,1.346938775510204,0.9871413370238633,0.4386568420449934,0.0,0.6230605582591298,8.0,s
49,1.2348653282451196,0.9999960362579446,0.2969927041245674,0.0,0.5607448243014505,4.0,s
50,1.6444444444444446,0.999999999999919,0.23812807655316892,0.0,0.43673854422507047,8.0,s
51,1.4042553191489358,0.9999707040020828,0.32866341435355034,0.0,0.5748671649623819,7.0,s
52,1.3691056910569106,0.9999999870033379,0.268436574009864,0.0,0.5614279161306925,4.0,s
53,1.6444444444444448,0.9999999999999998,0.22323003792422255,0.0,0.4141660045154032,8.0,s
54,1.4042553191489358,0.9999999997305061,0.25264557631995566,0.0,0.4759561691420273,7.0,s
55,1.4493224932249325,0.9999999999775421,0.24574058927597922,0.0,0.5278899711219521,4.0,s
56,,,,,,,s
57,1.4042553191489358,0.9999999999991558,0.23240012901731952,0.0,0.46073328064857866,7.0,s
58,1.6923076923076918,0.9999999999994971,0.24584458594722078,0.0,0.6286026011963043,3.0,s
59,,,,,,,s
60,1.3142857142857145,0.7257436198214582,0.6618876325292974,0.0,0.3443840182527182,3.0,d
61,0.3529411764705882,0.949782599346165,0.34299717028501764,0.474,0.2921381656068235,3.0,d
62,1.327054794520548,0.9877015153609192,0.43540700081656736,0.0,0.7136971531711274,3.0,d
63,1.7419354838709677,0.9992170617060363,0.3979419194568437,0.0,0.7960279846691595,3.0,d
64,1.213917525773196,0.9998661722402347,0.3321989444695064,0.0,0.6733904535278736,3.0,d
65,,,,,,,d
66,1.7999999999999998,0.999999999742547,0.27386127875258304,0.0,0.7101017101069906,3.0,d
67,1.4342105263157896,0.9999999948270736,0.26778821168189887,0.0,0.687267488120046,3.0,d
68,,,,,,,d
69,1.7931034482758614,0.9999999999997345,0.24865870865268888,0.0,0.7064172529314799,3.0,d
70,1.4395322782120459,0.9999999999988533,0.23530113914955594,0.0,0.6078722612628626,3.0,d
71,,,,,,,d
72,1.7931034482758614,0.9999999999999998,0.22964828915974078,0.0,0.6316542011376218,3.0,d
73,1.6897479814044527,0.9999999999999986,0.22979256824120564,0.0,0.6275927496008801,3.0,d
74,,,,,,,d
75,0.9078238834336394,0.9696526311076938,0.42610418524901617,0.016,0.580064894197544,3.0,r
76,0.6902637609087805,0.9946987789489544,0.33918130867054486,0.131,0.5445114096695566,4.0,r
77,1.5989974937343359,0.9999934060134311,0.3264962984715484,0.0,0.5457246691275136,4.0,r
78,1.3306390977443612,0.9997888040133062,0.3478033793740838,0.0,0.6223582908957955,3.0,r
79,0.8495238095238092,0.9999189755559461,0.29146591730832083,0.0,0.5449200347126529,4.0,r
80,,,,,,,r
81,1.506641366223909,0.9999858186759932,0.32805066749599054,0.0,0.6282192950834569,3.0,r
82,1.1085714285714288,0.9999999980328009,0.24154888669098465,0.0,0.5084401460064201,4.0,r
83,,,,,,,r
84,1.5066413662239089,0.9999998904399333,0.28931349454104366,0.0,0.625738272472305,3.0,r
85,1.5066413662239089,0.9999999994422109,0.2616939022306846,0.0,0.619374221388544,3.0,r
86,,,,,,,r
87,1.5066413662239089,0.9999999918060888,0.2744668801717166,0.0,0.6193507195616718,3.0,r
88,1.6,0.9999999997305662,0.2637521893583148,0.0,0.6217076001139735,3.0,r
89,,,,,,,r
